# Variable: nd
# Sample shape: (10L, 2L, 2L)
# Date: 2016-01-20 09:36:31.643000
2.211526657473171786e-01,-8.419294156174639276e-02,-5.807584957162705841e-01,1.504082276410344310e+00
-6.938104529297137724e-01,2.163560782215250278e+00,9.970637162156339439e-01,8.334525363347792259e-01
3.387975190306617979e-01,7.141341035875538035e-01,7.019280527045814733e-01,1.589552417784417138e+00
2.367842807414829220e+00,7.939944720456173499e-01,1.621657567338045114e-01,1.791641768181394978e+00
5.606245797279342247e-01,2.701834418621360534e+00,1.778922437296476478e+00,1.900546742459365834e+00
2.059178717327714736e+00,2.419144091012140230e+00,2.145725032714242531e+00,-3.323584784881361553e-01
3.949385304969521560e-01,7.108789379231406080e-01,1.839423107594456486e+00,1.903368857749364373e+00
1.418367102428725879e+00,8.063529229139745347e-01,1.715721359125082612e+00,2.404530405184702957e+00
1.329174103802619022e+00,9.944528778304377870e-01,-2.609164420050955613e-01,-7.135140355535196655e-02
7.537200432151203167e-01,9.784540328334113690e-01,2.287437809461275950e+00,1.284227109798236288e+00
